comment_num,name,service,level,taste,avg_cost,food_type,location,environment,url
959,老乾杯(平安金融中心店),9.1,五星商户,9.0,￥734,日本菜,市中心区,9.0,http://www.dianping.com/shop/93772945
1308,奈雪の茶(怡景中心城店),8.6,准五星商户,8.6,￥34,饮品店,市中心区,8.8,http://www.dianping.com/shop/66962378
2620,桂满陇·西湖船宴(平安金融中心店),8.4,四星商户,7.7,￥95,本帮江浙菜,市中心区,9.1,http://www.dianping.com/shop/92760092
1268,36 MATCHART•招牌抹茶千层(皇庭广场店),8.2,四星商户,8.1,￥45,面包甜点,市中心区,8.3,http://www.dianping.com/shop/69300703
1052,SOI 22 二十二象,8.3,四星商户,7.8,￥116,东南亚菜,市中心区,8.8,http://www.dianping.com/shop/96044963
727,黑白电视老长沙吃货铺(皇庭广场店),7.2,准四星商户,7.4,￥37,小吃快餐,市中心区,7.3,http://www.dianping.com/shop/93230685
1824,喜茶(怡景中心城店),8.3,准五星商户,8.7,￥27,饮品店,市中心区,8.8,http://www.dianping.com/shop/68203129
2456,喜茶(福田COCO PARK店),8.0,四星商户,8.5,￥26,饮品店,市中心区,7.8,http://www.dianping.com/shop/67293067
2632,杂咖(中心城店),8.1,准五星商户,8.2,￥112,西餐,市中心区,9.0,http://www.dianping.com/shop/38306598
672,Something For(新华保险大厦店),8.7,准五星商户,8.7,￥45,饮品店,市中心区,8.3,http://www.dianping.com/shop/95942258
1929,太二酸菜鱼(皇庭广场店),8.5,四星商户,8.4,￥93,川菜,市中心区,8.6,http://www.dianping.com/shop/92329372
